Visual,FreqNet,ECAPA,CrossModal,Biometric,auc,margin,err_tau,acc_tau
0.0,0.0,0.35,0.05,0.6,0.9999958539255034,-0.008786650000000007,1,99.95374653098983
0.0,0.0,0.35,0.1,0.55,1.0,0.01494485000000001,1,99.95374653098983
0.0,0.0,0.35,0.15,0.5,1.0,0.015488599999999964,0,100.0
0.0,0.0,0.35,0.2,0.45,1.0,0.016032349999999973,1,99.95374653098983
0.0,0.0,0.35,0.25,0.4,1.0,0.016576100000000038,1,99.95374653098983
0.0,0.0,0.35,0.3,0.35,1.0,0.017119850000000048,1,99.95374653098983
0.0,0.0,0.35,0.35,0.3,1.0,0.017663600000000057,3,99.86123959296947
0.0,0.0,0.35,0.4,0.25,1.0,0.01820735000000001,3,99.86123959296947
0.0,0.0,0.35,0.45,0.2,1.0,0.016719399999999884,3,99.86123959296947
0.0,0.0,0.35,0.5,0.15,0.99998756177651,-0.03514355000000008,3,99.86123959296947
0.0,0.0,0.35,0.55,0.1,0.9999792696275167,-0.0870065000000001,6,99.72247918593895
0.0,0.0,0.35,0.6,0.05,0.99997512355302,-0.13886944999999995,7,99.67622571692877
0.0,0.0,0.35,0.65,0.0,0.9999461010315434,-0.19073240000000014,7,99.67622571692877
0.0,0.0,0.4,0.0,0.6,0.9999834157020133,-0.04761899999999997,1,99.95374653098983
0.0,0.0,0.4,0.05,0.55,0.9999917078510067,-0.016020178515624983,1,99.95374653098983
0.0,0.0,0.4,0.1,0.5,1.0,0.0007170214843750244,1,99.95374653098983
0.0,0.0,0.4,0.15,0.45,1.0,0.014422649999999981,1,99.95374653098983
0.0,0.0,0.4,0.2,0.4,1.0,0.014966399999999935,1,99.95374653098983
0.0,0.0,0.4,0.25,0.35,1.0,0.01551015,1,99.95374653098983
0.0,0.0,0.4,0.3,0.3,1.0,0.01605390000000001,0,100.0
0.0,0.0,0.4,0.35,0.25,1.0,0.016597649999999964,0,100.0
0.0,0.0,0.4,0.4,0.2,1.0,0.017141399999999973,1,99.95374653098983
0.0,0.0,0.4,0.45,0.15,1.0,0.017685149999999983,1,99.95374653098983
0.0,0.0,0.4,0.5,0.1,1.0,0.00458829999999999,3,99.86123959296947
0.0,0.0,0.4,0.55,0.05,0.9999792696275167,-0.047274649999999974,5,99.76873265494912
0.0,0.0,0.4,0.6,0.0,0.99997512355302,-0.09913759999999994,7,99.67622571692877
0.0,0.0,0.45,0.0,0.55,0.9998673256161067,-0.11295530083007804,3,99.86123959296947
0.0,0.0,0.45,0.05,0.5,0.9998756177651,-0.09621810083007815,3,99.86123959296947
0.0,0.0,0.45,0.1,0.45,0.99988805598859,-0.07948090083007803,3,99.86123959296947
0.0,0.0,0.45,0.15,0.4,0.9998963481375833,-0.06274370083007819,2,99.90749306197965
0.0,0.0,0.45,0.2,0.35,0.9999087863610734,-0.04600650083007807,2,99.90749306197965
0.0,0.0,0.45,0.25,0.3,0.99996268532953,-0.02926930083007817,2,99.90749306197965
0.0,0.0,0.45,0.3,0.25,0.9999917078510067,-0.012532100830078052,2,99.90749306197965
0.0,0.0,0.45,0.35,0.2,1.0,0.003496326208496048,1,99.95374653098983
0.0,0.0,0.45,0.4,0.15,1.0,0.01312327620849607,1,99.95374653098983
0.0,0.0,0.45,0.45,0.1,1.0,0.016619199999999945,0,100.0
0.0,0.0,0.45,0.5,0.05,1.0,0.017162949999999955,0,100.0
0.0,0.0,0.45,0.55,0.0,0.9999958539255034,-0.007542800000000016,1,99.95374653098983
0.0,0.0,0.5,0.0,0.5,0.9996600218912733,-0.19315322314453126,19,99.12118408880666
0.0,0.0,0.5,0.05,0.45,0.99967660618926,-0.1764160231445313,18,99.16743755781684
0.0,0.0,0.5,0.1,0.4,0.9996848983382534,-0.1596788231445312,19,99.12118408880666
0.0,0.0,0.5,0.15,0.35,0.9997056287107366,-0.14294162314453124,19,99.12118408880666
0.0,0.0,0.5,0.2,0.3,0.9997097747852334,-0.12620442314453117,20,99.07493061979649
0.0,0.0,0.5,0.25,0.25,0.9997222130087233,-0.10946722314453117,20,99.07493061979649
0.0,0.0,0.5,0.3,0.2,0.9997222130087233,-0.09273002314453133,20,99.07493061979649
0.0,0.0,0.5,0.35,0.15,0.9997305051577167,-0.08112059865722665,21,99.02867715078631
0.0,0.0,0.5,0.4,0.1,0.9997305051577167,-0.07149364865722663,21,99.02867715078631
0.0,0.0,0.5,0.45,0.05,0.9997470894557033,-0.06186669865722655,21,99.02867715078631
0.0,0.0,0.5,0.5,0.0,0.9997595276791933,-0.05223974865722664,21,99.02867715078631
0.0,0.0,0.55,0.0,0.45,0.99936565060201,-0.2733511454589844,30,98.61239592969473
0.0,0.0,0.55,0.05,0.4,0.9993780888255,-0.2566139454589844,31,98.56614246068455
0.0,0.0,0.55,0.1,0.35,0.9993863809744934,-0.23987674545898435,31,98.56614246068455
